store,address,category1,category2,category3,category4
立石駅前店,東京都葛飾区新小岩1-39-6,340000000,360000000,380000000,390000000
方南町店,東京都杉並区和泉4-51-10 昌広ビル1F,220000000,210000000,240000000,290000000
所沢Part1店,埼玉県所沢市日吉町2-1,180000000,190000000,180000000,190000000
北千住店,東京都足立区千住2-26,370000000,390000000,410000000,360000000
六本木店,東京都港区六本木6-1-26,440000000,480000000,540000000,580000000
池袋東口店,東京都豊島区南池袋1-27-5,390000000,390000000,420000000,410000000
瑞江駅前店,東京都江戸川区瑞江2-3-1,240000000,340000000,310000000,290000000
越谷赤山店,埼玉県越谷市赤山町2-59-1,140000000,150000000,160000000,180000000
神保町店,東京都千代田区神田神保町2-24-1,210000000,190000000,200000000,290000000
成田西口店,千葉県成田市馬橋8-3,410000000,430000000,510000000,415000000
川越クレアモール店,埼玉県川越市新富町2-5-17 SSビル,120000000,130000000,120000000,180000000
練馬春日町店,東京都練馬区春日町6-6-43,130000000,120000000,190000000,170000000
柏旭町店,千葉県柏市旭町4-6-2,290000000,310000000,390000000,320000000
高幡不動店,東京都日野市高幡53-1,140000000,160000000,170000000,140000000
溝ノ口店,神奈川県川崎市高津区溝口1-13-18,270000000,370000000,370000000,330000000
新大久保駅前店,東京都新宿区百人町2-4-2,190000000,150000000,150000000,210000000